"No.","Time","Source","Destination","Protocol","Length","Info"
"214","22.607092373","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"215","22.608426826","192.168.8.159","104.239.142.81","UDP","75","53091  >  5010 Len=33"
"216","22.805620332","104.239.142.81","192.168.8.159","UDP","117","5010  >  53091 Len=75"
"217","22.806927966","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"218","23.002903538","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"219","23.004425500","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"220","23.200269154","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"221","23.201851286","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"222","23.399856648","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"223","23.401142182","192.168.8.159","104.239.142.81","UDP","80","53091  >  5010 Len=38"
"224","23.600017919","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"225","23.601466932","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"226","23.799868833","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"227","23.801384505","192.168.8.159","104.239.142.81","UDP","74","53091  >  5010 Len=32"
"228","23.998905450","104.239.142.81","192.168.8.159","UDP","118","5010  >  53091 Len=76"
"229","24.000699691","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"230","24.198752083","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"231","24.200200236","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"232","24.397070904","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"233","24.398371358","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"234","24.596800368","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"235","24.598016352","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"236","24.808590162","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"237","24.809874066","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"238","25.006476485","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"239","25.007725049","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"240","25.206777316","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"241","25.208073590","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"242","25.409243127","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"243","25.410773959","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"244","25.608458623","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"245","25.609836897","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"246","25.807161722","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"247","25.808566236","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"248","26.008699478","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"249","26.010230950","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"250","26.206978019","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"251","26.208487382","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"252","26.405308330","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
